source	target	weigh	bootscore	confidence
m__hmdb00452	m__hmdb00452	0.999205173	1	0.999205173
;  q06996: l_sendf    ;  o55528: l_sendo	;  q06996: l_sendf    ;  o55528: l_sendo	0.999201334	1	0.999201334
m__hmdb00873	m__hmdb00873	0.999164854	1	0.999164854
m__hmdb00715	m__hmdb00715	0.999152336	1	0.999152336
m__hmdb00194	m__hmdb00194	0.999143279	1	0.999143279
m__hmdb00699	m__hmdb00699	0.999137598	1	0.999137598
m__hmdb00118	m__hmdb00118	0.99910083	1	0.99910083
m__hmdb11718	m__hmdb11718	0.999076449	1	0.999076449
clostridium_citroniae	clostridium_citroniae	0.999057818	1	0.999057818
coprococcus_catus	coprococcus_catus	0.998975129	1	0.998975129
m__hmdb00511	m__hmdb00511	0.998950689	1	0.998950689
m__hmdb00448	m__hmdb00448	0.998837845	1	0.998837845
m__hmdb03464	m__hmdb03464	0.998777497	1	0.998777497
m__hmdb00873	m__hmdb00873	0.998746621	1	0.998746621
m__hmdb00244	m__hmdb00244	0.998737842	1	0.998737842
m__hmdb00715	m__hmdb00715	0.998707449	1	0.998707449
m__hmdb01232	m__hmdb01232	0.998649949	1	0.998649949
anaerotruncus_unclassified	anaerotruncus_unclassified	0.998605706	1	0.998605706
mitsuokella_unclassified	rna helicase	0.998581842	1	0.998581842
m__hmdb00764	m__hmdb00764	0.998560116	1	0.998560116
m__hmdb00195	m__hmdb00195	0.998545473	1	0.998545473
m__hmdb01547	m__hmdb01547	0.99853506	1	0.99853506
m__hmdb00630	m__hmdb00630	0.998504817	1	0.998504817
m__hmdb00511	m__hmdb00511	0.998472696	1	0.998472696
m__hmdb00020	m__hmdb00020	0.99838583	1	0.99838583
m__hmdb00094	m__hmdb00094	0.998367132	1	0.998367132
m__hmdb11718	m__hmdb11718	0.998354399	1	0.998354399
m__hmdb00448	m__hmdb00448	0.998320169	1	0.998320169
clostridium_citroniae	clostridium_citroniae	0.998228524	1	0.998228524
m__hmdb03464	m__hmdb03464	0.998147544	1	0.998147544
lachnospiraceae_bacterium_5_1_63faa	lachnospiraceae_bacterium_5_1_63faa	0.998090902	1	0.998090902
mitsuokella_unclassified	mitsuokella_unclassified	0.998026521	1	0.998026521
m__hmdb00174	m__hmdb00174	0.997980843	1	0.997980843
m__hmdb00020	m__hmdb00020	0.997910516	1	0.997910516
m__hmdb00870	m__hmdb00870	0.997843813	1	0.997843813
m__hmdb00098	m__hmdb00098	0.997799555	1	0.997799555
m__hmdb00195	m__hmdb00195	0.997775635	1	0.997775635
m__hmdb00510	m__hmdb00510	0.997629879	1	0.997629879
escherichia_unclassified	escherichia_unclassified	0.997624263	1	0.997624263
m__hmdb04193	m__hmdb04193	0.997379931	1	0.997379931
m__hmdb04193	m__hmdb04193	0.997375816	1	0.997375816
m__hmdb00764	m__hmdb00764	0.997315851	1	0.997315851
m__hmdb00067	m__hmdb00067	0.997251146	1	0.997251146
m__hmdb02123	m__hmdb02123	0.997128212	1	0.997128212
holdemania_unclassified	holdemania_unclassified	0.997028173	1	0.997028173
m__hmdb00296	m__hmdb00296	0.996803525	1	0.996803525
m__hmdb00222	m__hmdb00222	0.996452449	1	0.996452449
anaerotruncus_unclassified	anaerotruncus_unclassified	0.996436504	1	0.996436504
m__hmdb00510	m__hmdb00510	0.99618785	1	0.99618785
m__hmdb00067	m__hmdb00067	0.996130291	1	0.996130291
clostridium_leptum	clostridium_leptum	0.995969745	1	0.995969745
m__hmdb00262	m__hmdb00262	0.995893791	1	0.995893791
m__hmdb00262	m__hmdb00262	0.995892277	1	0.995892277
m__hmdb00956	m__hmdb00956	0.995870582	1	0.995870582
m__hmdb00222	m__hmdb00222	0.995861466	1	0.995861466
eubacterium_ramulus	eubacterium_ramulus	0.995666341	1	0.995666341
mitsuokella_unclassified	mitsuokella_unclassified	0.995645836	1	0.995645836
m__hmdb00247	m__hmdb00247	0.995618857	1	0.995618857
bilophila_unclassified	bilophila_unclassified	0.995251075	1	0.995251075
ruminococcaceae_bacterium_d16	ruminococcaceae_bacterium_d16	0.995114431	1	0.995114431
m__hmdb00174	m__hmdb00174	0.994886728	1	0.994886728
m__hmdb00482	m__hmdb00482	0.994557806	1	0.994557806
m__hmdb00365	m__hmdb00365	0.994388997	1	0.994388997
m__hmdb00043	m__hmdb00043	0.994301626	1	0.994301626
clostridiaceae_bacterium_jc118	clostridiaceae_bacterium_jc118	0.994249199	1	0.994249199
m__hmdb00296	m__hmdb00296	0.993667763	1	0.993667763
m__hmdb00482	m__hmdb00482	0.992114047	1	0.992114047
m__hmdb00870	m__hmdb00870	0.992070991	1	0.992070991
clostridium_bolteae	clostridium_bolteae	0.9920533	1	0.9920533
holdemania_unclassified	holdemania_unclassified	0.992041738	1	0.992041738
bacteroides_xylanisolvens	bacteroides_xylanisolvens	0.991785405	1	0.991785405
oscillibacter_unclassified	oscillibacter_unclassified	0.99056324	1	0.99056324
ruminococcus_torques	ruminococcus_torques	0.990512683	1	0.990512683
holdemania_filiformis	holdemania_filiformis	0.989776634	1	0.989776634
m__hmdb00043	m__hmdb00043	0.989744488	1	0.989744488
m__hmdb00247	m__hmdb00247	0.988665988	1	0.988665988
holdemania_filiformis	holdemania_filiformis	0.987814862	1	0.987814862
m__hmdb00039	m__hmdb00039	0.987222902	1	0.987222902
clostridium_hathewayi	clostridium_hathewayi	0.986713966	1	0.986713966
m__hmdb00039	m__hmdb00039	0.986069249	1	0.986069249
lachnospiraceae_bacterium_8_1_57faa	lachnospiraceae_bacterium_8_1_57faa	0.986026488	1	0.986026488
m__hmdb10169	m__hmdb10169	0.985690126	1	0.985690126
clostridium_asparagiforme	clostridium_asparagiforme	0.985460442	1	0.985460442
m__hmdb00128	m__hmdb00128	0.984568482	1	0.984568482
veillonella_atypica	veillonella_atypica	0.983932179	1	0.983932179
m__hmdb10169	m__hmdb10169	0.983676335	1	0.983676335
holdemania_unclassified	formate-c-acetyltransferase-activating enzyme	-0.983329131	1	0.983329131
m__hmdb01169	bacteroides_vulgatus	0.993153649	0.99	0.983222113
m__hmdb00097	m__hmdb00097	0.98185972	1	0.98185972
m__hmdb00806	m__hmdb00806	0.981644337	1	0.981644337
m__hmdb00806	m__hmdb00806	0.981162319	1	0.981162319
clostridium_asparagiforme	clostridium_asparagiforme	0.980942812	1	0.980942812
m__hmdb01169	m__hmdb01169	0.980514865	1	0.980514865
clostridiaceae_bacterium_jc118	clostridiaceae_bacterium_jc118	0.980256432	1	0.980256432
m__hmdb00097	m__hmdb00097	0.980108334	1	0.980108334
dorea_unclassified	dorea_unclassified	0.980035616	1	0.980035616
m__hmdb00128	m__hmdb00128	0.979860699	1	0.979860699
pseudomonas_unclassified	pseudomonas_unclassified	0.979459056	1	0.979459056
lachnospiraceae_bacterium_5_1_63faa	lachnospiraceae_bacterium_5_1_63faa	0.978989142	1	0.978989142
eggerthella_unclassified	eggerthella_unclassified	0.978241989	1	0.978241989
clostridium_bartlettii	clostridium_bartlettii	0.977021415	1	0.977021415
lachnospiraceae_bacterium_2_1_58faa	lachnospiraceae_bacterium_2_1_58faa	0.976906352	1	0.976906352
m__hmdb00637	m__hmdb00637	0.976807333	1	0.976807333
eggerthella_unclassified	eggerthella_unclassified	0.975696299	1	0.975696299
ruminococcus_gnavus	ruminococcus_gnavus	0.975031401	1	0.975031401
veillonella_dispar	veillonella_dispar	0.974781629	1	0.974781629
m__hmdb00637	m__hmdb00637	0.97472226	1	0.97472226
m__hmdb00138	m__hmdb00138	0.9746166	1	0.9746166
m__hmdb01149	m__hmdb01149	0.974184314	1	0.974184314
;  q06996: l_sendf    ;  o55528: l_sendo	;  q06996: l_sendf    ;  o55528: l_sendo	0.973814945	1	0.973814945
clostridium_bolteae	clostridium_bolteae	0.972494095	1	0.972494095
bifidobacterium_longum	bifidobacterium_longum	0.971168904	1	0.971168904
veillonella_parvula	veillonella_parvula	0.970150949	1	0.970150949
m__hmdb00138	m__hmdb00138	0.969079734	1	0.969079734
lachnospiraceae_bacterium_7_1_58faa	lachnospiraceae_bacterium_7_1_58faa	0.968853571	1	0.968853571
fe3+-transporting atpase	fe3+-transporting atpase	0.968654915	1	0.968654915
m__hmdb01149	m__hmdb01149	0.968049169	1	0.968049169
m__hmdb00014	m__hmdb00014	0.968042748	1	0.968042748
m__hmdb00014	m__hmdb00014	0.967473963	1	0.967473963
m__hmdb00019	akkermansia_muciniphila	0.997255158	0.97	0.967337503
lachnospiraceae_bacterium_7_1_58faa	lachnospiraceae_bacterium_7_1_58faa	0.966186478	1	0.966186478
methylaspartate mutase	methylaspartate mutase	0.965697812	1	0.965697812
coprococcus_catus	coprococcus_catus	0.965082845	1	0.965082845
m__hmdb00036	m__hmdb00036	0.96438033	1	0.96438033
m__hmdb00562	m__hmdb00562	0.964214455	1	0.964214455
clostridium_citroniae	dna helicase	0.964066288	1	0.964066288
mitsuokella_unclassified	transaldolase	-0.960599887	1	0.960599887
odoribacter_splanchnicus	odoribacter_splanchnicus	0.959303515	1	0.959303515
m__hmdb00020	peptostreptococcaceae_noname_unclassified	0.958411893	1	0.958411893
parabacteroides_unclassified	parabacteroides_unclassified	0.955544361	1	0.955544361
m__hmdb00699	m__hmdb00699	0.954848383	1	0.954848383
burkholderiales_bacterium_1_1_47	burkholderiales_bacterium_1_1_47	0.954415211	1	0.954415211
ruminococcus_obeum	ruminococcus_obeum	0.954137858	1	0.954137858
lachnospiraceae_bacterium_8_1_57faa	lachnospiraceae_bacterium_8_1_57faa	0.953766902	1	0.953766902
m__hmdb00365	m__hmdb00365	0.953296271	1	0.953296271
m__hmdb00562	m__hmdb00562	0.953280758	1	0.953280758
glycerate 3-kinase	glycerate 3-kinase	0.952596327	1	0.952596327
pseudomonas_unclassified	fructose-bisphosphate aldolase	-0.951790395	1	0.951790395
m__hmdb01169	bacteroides_vulgatus	0.967094575	0.98	0.947752684
haemophilus_parainfluenzae	haemophilus_parainfluenzae	0.944528911	1	0.944528911
bilophila_wadsworthia	bilophila_wadsworthia	0.944141558	1	0.944141558
m__hmdb00619	m__hmdb00619	0.942724405	1	0.942724405
clostridium_leptum	clostridium_leptum	0.941880273	1	0.941880273
streptococcus_thermophilus	streptococcus_thermophilus	0.938384679	1	0.938384679
dorea_unclassified	dorea_unclassified	0.934377547	1	0.934377547
ruminococcaceae_bacterium_d16	ruminococcaceae_bacterium_d16	0.932137355	1	0.932137355
pseudomonas_unclassified	pseudomonas_unclassified	0.930172368	1	0.930172368
m__hmdb00269	m__hmdb00269	0.928697558	1	0.928697558
m__hmdb00036	m__hmdb00036	0.927296043	1	0.927296043
odoribacter_splanchnicus	odoribacter_splanchnicus	0.925116881	1	0.925116881
streptococcus_salivarius	serine o-acetyltransferase	0.923278063	1	0.923278063
clostridiales_bacterium_1_7_47faa	clostridiales_bacterium_1_7_47faa	0.92259622	1	0.92259622
pseudomonas_unclassified	3-hydroxyacyl-acyl-carrier-protein dehydratase	-0.919694105	1	0.919694105
ubiquinol oxidase electrogenic: non h+-transporting	ubiquinol oxidase electrogenic: non h+-transporting	0.918905165	1	0.918905165
m__hmdb00269	m__hmdb00269	0.918119991	1	0.918119991
eubacterium_ventriosum	eubacterium_ventriosum	0.917657762	1	0.917657762
bacteroides_fragilis	bacteroides_fragilis	0.91760602	1	0.91760602
m__hmdb00262	c2likevirus_unclassified	0.935556694	0.98	0.91684556
m__hmdb03357	lachnospiraceae_bacterium_1_1_57faa	0.96415723	0.95	0.915949369
parasutterella_excrementihominis	parasutterella_excrementihominis	0.913685047	1	0.913685047
dorea_formicigenerans	dorea_formicigenerans	0.913109792	1	0.913109792
faecalibacterium_prausnitzii	faecalibacterium_prausnitzii	0.910897372	1	0.910897372
;  q06996: l_sendf    ;  o55528: l_sendo	m__hmdb00089	-0.977941969	0.93	0.909486031
ruminococcus_lactaris	ruminococcus_lactaris	0.907406647	1	0.907406647
glycerol kinase	glycerol kinase	0.907292156	1	0.907292156
m__hmdb00030	m__hmdb00030	0.906697469	1	0.906697469
m__hmdb00812	eubacterium_siraeum	0.925154354	0.98	0.906651267
propionibacterium_acnes	shikimate kinase	-0.905916522	1	0.905916522
ruminococcus_gnavus	ruminococcus_gnavus	0.905832666	1	0.905832666
m__hmdb00056	m__hmdb00056	0.905079917	1	0.905079917
eubacterium_hallii	eubacterium_hallii	0.903924262	1	0.903924262
ribulose-bisphosphate carboxylase	ribulose-bisphosphate carboxylase	0.901247145	1	0.901247145
bacteroides_ovatus	bacteroides_ovatus	0.901100308	1	0.901100308
m__hmdb00020	peptostreptococcaceae_noname_unclassified	0.899694026	1	0.899694026
s-ribosylhomocysteine lyase	s-ribosylhomocysteine lyase	0.898971687	1	0.898971687
pseudomonas_unclassified	l-lactate dehydrogenase	-0.896917554	1	0.896917554
m__hmdb00626	m__hmdb00626	0.896262262	1	0.896262262
m__hmdb01547	bacteroides_massiliensis	0.913259923	0.98	0.894994725
m__hmdb00619	m__hmdb00619	0.892264895	1	0.892264895
m__hmdb02329	m__hmdb02329	0.89106738	1	0.89106738
eubacterium_hallii	eubacterium_hallii	0.884823341	1	0.884823341
pseudomonas_unclassified	methylaspartate mutase	0.883397992	1	0.883397992
bacterial non-heme ferritin	bacterial non-heme ferritin	0.882522299	1	0.882522299
m__hmdb00956	m__hmdb00956	0.879665794	1	0.879665794
streptococcus_salivarius	streptococcus_salivarius	0.876452407	1	0.876452407
ruminococcus_callidus	ruminococcus_callidus	0.876431418	1	0.876431418
pyridoxal 5-phosphate synthase glutamine hydrolyzing	pyridoxal 5-phosphate synthase glutamine hydrolyzing	0.875406788	1	0.875406788
m__hmdb00056	m__hmdb00056	0.873557764	1	0.873557764
coprococcus_comes	coprococcus_comes	0.871722292	1	0.871722292
holdemania_unclassified	thymidylate synthase	-0.884306215	0.98	0.866620091
m__hmdb00244	roseburia_intestinalis	0.939958386	0.92	0.864761715
m__hmdb00289	m__hmdb00289	0.863702135	1	0.863702135
subdoligranulum_unclassified	subdoligranulum_unclassified	0.863659369	1	0.863659369
clostridium_hathewayi	clostridium_hathewayi	0.858850378	1	0.858850378
phosphatidate cytidylyltransferase	phosphatidate cytidylyltransferase	0.857968396	1	0.857968396
m__hmdb00030	m__hmdb00030	0.857540807	1	0.857540807
m__hmdb00089	m__hmdb00089	0.857355259	1	0.857355259
m__hmdb03357	bifidobacterium_adolescentis	0.971789811	0.88	0.855175033
bilophila_wadsworthia	bilophila_wadsworthia	0.853765507	1	0.853765507
clostridium_bartlettii	clostridium_bartlettii	0.847753452	1	0.847753452
m__hmdb00098	m__hmdb00098	0.847743576	1	0.847743576
propionibacterium_acnes	propionibacterium_acnes	0.847400694	1	0.847400694
erysipelotrichaceae_bacterium_6_1_45	enoyl-coa hydratase	0.846270523	1	0.846270523
dihydrolipoyl dehydrogenase	dihydrolipoyl dehydrogenase	0.845108624	1	0.845108624
m__hmdb00812	eubacterium_siraeum	0.993585418	0.85	0.844547605
eubacterium_ventriosum	eubacterium_ventriosum	0.841362309	1	0.841362309
parabacteroides_distasonis	parabacteroides_distasonis	0.841052703	1	0.841052703
barnesiella_intestinihominis	barnesiella_intestinihominis	0.838555194	1	0.838555194
dorea_formicigenerans	dorea_formicigenerans	0.837737099	1	0.837737099
glucose-6-phosphate dehydrogenase nadp+	glucose-6-phosphate dehydrogenase nadp+	0.836857655	1	0.836857655
3-hydroxyacyl-acyl-carrier-protein dehydratase	3-hydroxyacyl-acyl-carrier-protein dehydratase	0.836026966	1	0.836026966
m__hmdb00063	dialister_invisus	-0.867187395	0.96	0.8324999
c2likevirus_unclassified	c2likevirus_unclassified	0.831502119	1	0.831502119
anaerostipes_hadrus	anaerostipes_hadrus	0.829871531	1	0.829871531
m__hmdb01895	veillonella_parvula	0.937411074	0.88	0.824921745
anaerotruncus_colihominis	2-c-methyl-d-erythritol 2:4-cyclodiphosphate synthase	0.822589487	1	0.822589487
bacterial non-heme ferritin	bacterial non-heme ferritin	0.821017956	1	0.821017956
m__hmdb01991	m__hmdb01991	0.818452506	1	0.818452506
erysipelotrichaceae_bacterium_6_1_45	peroxiredoxin	0.814296715	1	0.814296715
m__hmdb04610	m__hmdb04610	0.814107626	1	0.814107626
eubacterium_ramulus	rna helicase	0.811645603	1	0.811645603
clostridium_bartlettii	glyceraldehyde-3-phosphate dehydrogenase phosphorylating	-0.82691164	0.98	0.810373407
parasutterella_excrementihominis	parasutterella_excrementihominis	0.807080746	1	0.807080746
pseudomonas_unclassified	l-serine ammonia-lyase	-0.805320915	1	0.805320915
glucose-1-phosphate adenylyltransferase	glucose-1-phosphate adenylyltransferase	0.80514759	1	0.80514759
bacteroides_ovatus	bacteroides_ovatus	0.803741182	1	0.803741182
m__hmdb00239	m__hmdb00239	0.802806883	1	0.802806883
holdemania_unclassified	glutamate dehydrogenase	-0.963522983	0.83	0.799724076
m__hmdb00019	ruminococcus_bromii	0.916665959	0.87	0.797499384
phosphatidate cytidylyltransferase	phosphatidate cytidylyltransferase	0.796797521	1	0.796797521
glutamate dehydrogenase nadp+	glutamate dehydrogenase nadp+	0.79674865	1	0.79674865
beta-lactamase	beta-lactamase	0.796220639	1	0.796220639
m__hmdb00289	m__hmdb00289	0.793305825	1	0.793305825
m__hmdb00156	lachnospiraceae_bacterium_1_1_57faa	0.792418168	1	0.792418168
dorea_longicatena	dorea_longicatena	0.788324202	1	0.788324202
pseudomonas_unclassified	aspartate ammonia-lyase	0.795484784	0.99	0.787529936
escherichia_coli	escherichia_coli	0.782029592	1	0.782029592
anaerostipes_hadrus	anaerostipes_hadrus	0.781838329	1	0.781838329
coprobacillus_unclassified	coprobacillus_unclassified	0.776077708	1	0.776077708
coprococcus_comes	coprococcus_comes	0.771758635	1	0.771758635
klebsiella_pneumoniae	klebsiella_pneumoniae	0.770549349	1	0.770549349
pseudomonas_unclassified	adenosylmethionine-8-amino-7-oxononanoate transaminase	-0.770251743	1	0.770251743
bacteroides_eggerthii	bacteroides_eggerthii	0.769443372	1	0.769443372
pseudomonas_unclassified	l-serine ammonia-lyase	-0.768861246	1	0.768861246
beta-lactamase	beta-lactamase	0.766289367	1	0.766289367
m__hmdb00630	m__hmdb00630	0.765247923	1	0.765247923
erysipelotrichaceae_bacterium_6_1_45	erysipelotrichaceae_bacterium_6_1_45	0.765229874	1	0.765229874
bacteroides_thetaiotaomicron	bacteroides_thetaiotaomicron	0.765145098	1	0.765145098
aspartate ammonia-lyase	aspartate ammonia-lyase	0.761539689	1	0.761539689
pseudomonas_unclassified	protein-npi-phosphohistidine-sugar phosphotransferase	-0.905265915	0.84	0.760423369
m__hmdb00195	prevotella_copri	0.863804623	0.88	0.760148068
clostridiales_bacterium_1_7_47faa	clostridiales_bacterium_1_7_47faa	0.759800484	1	0.759800484
m__hmdb00626	m__hmdb00626	0.759747691	1	0.759747691
m__hmdb00239	m__hmdb00239	0.757692914	1	0.757692914
propionibacterium_acnes	hydroxylamine reductase	0.754247278	1	0.754247278
collinsella_aerofaciens	collinsella_aerofaciens	0.751627107	1	0.751627107
flavonifractor_plautii	flavonifractor_plautii	0.744982037	1	0.744982037
m__hmdb00118	alistipes_onderdonkii	0.780134288	0.94	0.733326231
parabacteroides_merdae	parabacteroides_merdae	0.731188561	1	0.731188561
lachnospiraceae_bacterium_3_1_57faa_ct1	transaldolase	0.730061515	1	0.730061515
pseudomonas_unclassified	triose-phosphate isomerase	-0.7293906	1	0.7293906
sutterella_wadsworthensis	sutterella_wadsworthensis	0.727712318	1	0.727712318
bacteroides_dorei	bacteroides_dorei	0.727645256	1	0.727645256
dihydroorotate dehydrogenase quinone	dihydroorotate dehydrogenase quinone	0.72735224	1	0.72735224
ruminococcus_callidus	ruminococcus_callidus	0.726437041	1	0.726437041
m__hmdb00019	lachnospiraceae_bacterium_3_1_57faa_ct1	0.760113505	0.95	0.72210783
acetyl-coa c-acetyltransferase	acetyl-coa c-acetyltransferase	0.721342727	1	0.721342727
s-ribosylhomocysteine lyase	s-ribosylhomocysteine lyase	0.716947565	1	0.716947565
m__hmdb01232	m__hmdb01232	0.715498825	1	0.715498825
m__hmdb01547	bacteroides_massiliensis	0.841749029	0.85	0.715486674
pseudomonas_unclassified	cytochrome-c oxidase	0.713563638	1	0.713563638
pseudomonas_unclassified	ubiquinol oxidase electrogenic: non h+-transporting	0.712997309	1	0.712997309
preq1 synthase	preq1 synthase	0.711618752	1	0.711618752
bilophila_unclassified	bilophila_unclassified	0.709886706	1	0.709886706
pseudomonas_unclassified	triose-phosphate isomerase	-0.785123371	0.9	0.706611034
barnesiella_intestinihominis	barnesiella_intestinihominis	0.706325181	1	0.706325181
subdoligranulum_unclassified	subdoligranulum_unclassified	0.703084052	1	0.703084052
m__hmdb00873	escherichia_coli	0.855702039	0.82	0.701675672
m__hmdb00118	bacteroides_cellulosilyticus	0.797334868	0.88	0.701654684
glycerate 3-kinase	glycerate 3-kinase	0.701476937	1	0.701476937
pseudomonas_unclassified	ribulose-phosphate 3-epimerase	0.696989153	1	0.696989153
dihydroorotate dehydrogenase quinone	dihydroorotate dehydrogenase quinone	0.692436348	1	0.692436348
eubacterium_ramulus	eubacterium_ramulus	0.691874047	1	0.691874047
clostridiales_bacterium_1_7_47faa	phosphopyruvate hydratase	-0.68841661	1	0.68841661
clostridiaceae_bacterium_jc118	glutamate decarboxylase	-0.880859559	0.78	0.687070456
clostridiaceae_bacterium_jc118	4-cytidine 5-diphospho-2-c-methyl-d-erythritol kinase	0.75930371	0.9	0.683373339
m__hmdb00452	haemophilus_parainfluenzae	0.894062789	0.76	0.679487719
lachnospiraceae_bacterium_2_1_58faa	lachnospiraceae_bacterium_2_1_58faa	0.677404528	1	0.677404528
5-formyltetrahydrofolate cyclo-ligase	5-formyltetrahydrofolate cyclo-ligase	0.675374007	1	0.675374007
flavonifractor_plautii	flavonifractor_plautii	0.675001244	1	0.675001244
m__hmdb00156	bacteroides_faecis	0.74066953	0.91	0.674009273
thymidylate synthase	thymidylate synthase	0.671713809	1	0.671713809
orotidine-5-phosphate decarboxylase	orotidine-5-phosphate decarboxylase	0.668260398	1	0.668260398
m__hmdb00511	alistipes_putredinis	0.793570244	0.84	0.666599005
pseudomonas_unclassified	protein-npi-phosphohistidine-sugar phosphotransferase	0.87385382	0.76	0.664128903
coprococcus_comes	16s rrna cytosine1402-n4-methyltransferase	0.67740561	0.98	0.663857497
m__hmdb00715	dialister_invisus	0.80763294	0.82	0.662259011
faecalibacterium_prausnitzii	faecalibacterium_prausnitzii	0.662089483	1	0.662089483
clostridium_bolteae	superoxide dismutase	0.659976027	0.99	0.653376267
uridine kinase	uridine kinase	0.651062934	1	0.651062934
m__hmdb00296	bacteroides_dorei	-0.731193188	0.89	0.650761938
ubiquinol oxidase electrogenic: non h+-transporting	m__hmdb00101	0.666445315	0.97	0.646451956
veillonella_dispar	glucose-1-phosphate adenylyltransferase	0.646144836	1	0.646144836
coprobacillus_unclassified	acetyl-coa c-acetyltransferase	0.796096071	0.81	0.644837817
5-formyltetrahydrofolate cyclo-ligase	5-formyltetrahydrofolate cyclo-ligase	0.643986522	1	0.643986522
parasutterella_excrementihominis	fe3+-transporting atpase	0.643128198	1	0.643128198
orotidine-5-phosphate decarboxylase	orotidine-5-phosphate decarboxylase	0.642400839	1	0.642400839
clostridium_clostridioforme	clostridium_clostridioforme	0.642055483	1	0.642055483
clostridiaceae_bacterium_jc118	aldose 1-epimerase	0.801841184	0.8	0.641472947
m__hmdb00156	bacteroides_caccae	0.889502465	0.72	0.640441775
3-hydroxybutyryl-coa dehydrogenase	3-hydroxybutyryl-coa dehydrogenase	0.640146064	1	0.640146064
m__hmdb00296	akkermansia_muciniphila	0.665470703	0.96	0.638851875
alistipes_shahii	alistipes_shahii	0.638276239	1	0.638276239
clostridium_clostridioforme	clostridium_clostridioforme	0.634566407	1	0.634566407
m__hmdb01232	bacteroides_uniformis	0.755422123	0.84	0.634554583
2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase	0.632878359	1	0.632878359
bacteroides_eggerthii	pyridoxal 5-phosphate synthase	0.630799853	1	0.630799853
bacteroides_eggerthii	bacteroides_eggerthii	0.624828012	1	0.624828012
beta-ketoacyl-acyl-carrier-protein synthase ii	beta-ketoacyl-acyl-carrier-protein synthase ii	0.623142329	1	0.623142329
uridine kinase	uridine kinase	0.616648765	1	0.616648765
erysipelotrichaceae_bacterium_6_1_45	erysipelotrichaceae_bacterium_6_1_45	0.616290177	1	0.616290177
bacteroides_finegoldii	bacteroides_finegoldii	0.615540018	1	0.615540018
m__hmdb02322	m__hmdb02322	0.614364619	1	0.614364619
bacteroides_finegoldii	bacteroides_finegoldii	0.611360283	1	0.611360283
phosphoglycerate kinase	phosphoglycerate kinase	0.610295225	1	0.610295225
roseburia_hominis	roseburia_hominis	0.609213919	1	0.609213919
roseburia_unclassified	roseburia_unclassified	0.608940037	1	0.608940037
preq1 synthase	preq1 synthase	0.608518482	1	0.608518482
m__hmdb04610	m__hmdb04610	0.602981311	1	0.602981311
m__hmdb00511	propionibacterium_acnes	-0.601112088	1	0.601112088
m__hmdb00174	parabacteroides_unclassified	0.606350893	0.98	0.594223875
m__hmdb01257	m__hmdb01257	0.593971536	1	0.593971536
m__hmdb00019	ruminococcus_bromii	0.898245485	0.66	0.59284202
pyridoxine 5-phosphate synthase	pyridoxine 5-phosphate synthase	0.588294601	1	0.588294601
erysipelotrichaceae_bacterium_6_1_45	enoyl-coa hydratase	0.585955043	1	0.585955043
holdemania_filiformis	phosphoglycerate kinase	0.850308067	0.68	0.578209485
erysipelotrichaceae_bacterium_6_1_45	histidine kinase	-0.599909194	0.96	0.575912826
m__hmdb00063	coprobacillus_unclassified	0.593349556	0.97	0.57554907
